enUS_ID	enUS_KEY	enUS_VERSION	enUS_VERCURR	deDE_VERSION	deDE_VERCURR
464	KARMA_ITSELF	310-1	9999-FF	NULL	NULL
465	KARMA_CMDSELF	310-1	9999-FF	NULL	NULL
466	KARMA_TITLE	310-1	9999-FF	NULL	NULL
478	KARMA_WINEL_FRAG_COLON	310-1	9999-FF	NULL	NULL
479	KARMA_WINEL_FRAG_COLONSPACE	310-1	9999-FF	NULL	NULL
480	KARMA_WINEL_FRAG_SPACE	310-1	9999-FF	NULL	NULL
481	KARMA_WINEL_FRAG_NEWLINE	310-1	9999-FF	NULL	NULL
482	KARMA_WINEL_FRAG_PLUS	310-1	9999-FF	NULL	NULL
483	KARMA_WINEL_FRAG_BRACKET_LEFT	310-1	9999-FF	NULL	NULL
484	KARMA_WINEL_FRAG_BRACKET_RIGHT	310-1	9999-FF	NULL	NULL
485	KARMA_WINEL_FRAG_TRIDOTS	310-1	9999-FF	NULL	NULL
490	KARMA_WINEL_INCREASE	310-1	9999-FF	NULL	NULL
491	KARMA_WINEL_DECREASE	310-1	9999-FF	NULL	NULL
493	KARMA_WINEL_NOTESPUBLICQUERYGUILD	310-1	9999-FF	NULL	NULL
494	KARMA_WINEL_NOTESPUBLICRESULTS	310-1	9999-FF	NULL	NULL
504	KARMA_WINEL_KARMAREGIONLIST	310-1	9999-FF	NULL	NULL
507	KARMA_WINEL_MAINALTLIST	310-1	9999-FF	NULL	NULL
509	KARMA_WINEL_TALENTS2BUTTON	310-1	9999-FF	NULL	NULL
510	KARMA_WINEL_FILTERBUTTON	310-1	9999-FF	NULL	NULL
514	KARMA_WINEL_NEWFORCEBUTTON	310-1	9999-FF	NULL	NULL
515	KARMA_WINEL_UPDATEFORCEBUTTON	310-1	9999-FF	NULL	NULL
580	KARMA_WINEL_DBCLEAN_TESTBUTTON	310-1	9999-FF	NULL	NULL
581	KARMA_WINEL_TIPS_SHIFTREQ_CHECKBOXTITLE	310-1	9999-FF	NULL	NULL
583	KARMA_WINEL_PLAYEDTHISCHECKBOXTITLE	310-1	9999-FF	NULL	NULL
584	KARMA_WINEL_PLAYEDTOTALCHECKBOXTITLE	310-1	9999-FF	NULL	NULL
590	KARMA_WINEL_TT_LFMADDKARMA_BOXTITLE	310-1	9999-FF	NULL	NULL
598	KARMA_WINEL_UPDATEWHILEAFK_TITLE	310-1	9999-FF	NULL	NULL
612	KARMA_WINEL_MINIMENUSUB_PLUS	310-1	9999-FF	NULL	NULL
614	KARMA_WINEL_MINIMENUSUB_MINUS	310-1	9999-FF	NULL	NULL
664	KARMA_MISSING_INFO	310-1	9999-FF	NULL	NULL
691	KARMA_WINEL_POSTTOMEMBER	310-1	9999-FF	NULL	NULL
711	KARMA_MSG_SHORT_HOUR	310-1	9999-FF	NULL	NULL
712	KARMA_MSG_SHORT_MINUTE	310-1	9999-FF	NULL	NULL
713	KARMA_MSG_SHORT_SECOND	310-1	9999-FF	NULL	NULL
777	KARMA_MSG_TIP_ALTS	310-1	9999-FF	NULL	NULL
786	KARMA_MSG_DBCLEAN_RESULT_DRYRUN1	310-1	9999-FF	NULL	NULL
789	KARMA_MSG_REMOVE_ISINGROUP1	310-1	9999-FF	NULL	NULL
815	KARMA_MSG_ALT_REQARG	310-1	9999-FF	NULL	NULL
816	KARMA_MSG_ALT_REQARGS	310-1	9999-FF	NULL	NULL
820	KARMA_MSG_ALT_LIST_NOALTS2	310-1	9999-FF	NULL	NULL
821	KARMA_MSG_ALT_LIST_PREFIX	310-1	9999-FF	NULL	NULL
